time,cell1,cell2,cell3,cell4,total,throttle
Старт
4999,4.137,4.151,8.288,0.000,0.000,40
5499,4.147,4.097,8.244,0.000,0.000,40
5999,4.049,4.166,8.214,0.000,0.000,40
6499,4.068,4.161,8.229,0.000,0.000,40
6999,4.088,4.127,8.214,0.000,0.000,40
7499,4.088,4.097,8.185,0.000,0.000,40
7999,4.107,4.063,8.170,0.000,0.000,40
8499,4.068,4.161,8.229,0.000,0.000,40
8999,4.088,4.053,8.141,0.000,0.000,40
9499,4.088,4.053,8.141,0.000,0.000,40
9999,4.098,4.058,8.155,0.000,0.000,40
10499,4.078,4.092,8.170,0.000,0.000,40
10999,4.107,4.063,8.170,0.000,0.000,40
11499,4.058,4.156,8.214,0.000,0.000,40
11999,4.088,4.053,8.141,0.000,0.000,40
12499,4.058,4.127,8.185,0.000,0.000,40
12999,4.068,4.132,8.200,0.000,0.000,40
13499,4.098,4.073,8.170,0.000,0.000,40
13999,4.068,4.132,8.200,0.000,0.000,40
14499,4.098,4.073,8.170,0.000,0.000,40
14999,4.078,4.063,8.141,0.000,0.000,40
15499,4.049,4.151,8.200,0.000,0.000,40
16000,4.088,4.038,8.126,0.000,0.000,40
16500,4.078,4.048,8.126,0.000,0.000,40
17000,4.088,4.053,8.141,0.000,0.000,40
17500,4.088,4.068,8.155,0.000,0.000,40
18000,4.058,4.141,8.200,0.000,0.000,40
18500,4.078,4.048,8.126,0.000,0.000,40
19000,4.098,4.058,8.155,0.000,0.000,40
19500,4.068,4.132,8.200,0.000,0.000,40
20000,4.068,4.043,8.111,0.000,0.000,40
20500,4.068,4.102,8.170,0.000,0.000,40
21000,4.098,4.058,8.155,0.000,0.000,40
21500,4.078,4.048,8.126,0.000,0.000,40
22000,4.088,4.068,8.155,0.000,0.000,40
22500,4.068,4.117,8.185,0.000,0.000,40
23000,4.088,4.068,8.155,0.000,0.000,40
23500,4.078,4.048,8.126,0.000,0.000,40
24000,4.039,4.146,8.185,0.000,0.000,40
24500,4.049,4.136,8.185,0.000,0.000,40
25000,4.068,4.043,8.111,0.000,0.000,40
25500,4.049,4.136,8.185,0.000,0.000,40
26000,4.049,4.136,8.185,0.000,0.000,40
26500,4.098,4.028,8.126,0.000,0.000,40
27000,4.078,4.033,8.111,0.000,0.000,40
27500,4.058,4.097,8.155,0.000,0.000,40
28000,4.068,4.073,8.141,0.000,0.000,40
28500,4.078,4.033,8.111,0.000,0.000,40
29000,4.068,4.028,8.096,0.000,0.000,40
29500,4.049,4.136,8.185,0.000,0.000,40
30000,4.088,4.053,8.141,0.000,0.000,40
30500,4.068,4.043,8.111,0.000,0.000,40
31000,4.039,4.117,8.155,0.000,0.000,40
31500,4.068,4.073,8.141,0.000,0.000,40
32000,4.058,4.038,8.096,0.000,0.000,40
32500,4.078,4.063,8.141,0.000,0.000,40
33000,4.078,4.048,8.126,0.000,0.000,40
33500,4.088,4.053,8.141,0.000,0.000,40
34000,4.058,4.082,8.141,0.000,0.000,40
34500,4.058,4.082,8.141,0.000,0.000,40
35000,4.058,4.112,8.170,0.000,0.000,40
35500,4.058,4.068,8.126,0.000,0.000,40
36000,4.049,4.122,8.170,0.000,0.000,40
36500,4.078,4.048,8.126,0.000,0.000,40
37000,4.088,4.053,8.141,0.000,0.000,40
37500,4.078,4.048,8.126,0.000,0.000,40
38000,4.088,4.038,8.126,0.000,0.000,40
38500,4.058,4.082,8.141,0.000,0.000,40
39000,4.029,4.112,8.141,0.000,0.000,40
39500,4.078,4.033,8.111,0.000,0.000,40
40000,4.058,4.053,8.111,0.000,0.000,40
40500,4.088,4.053,8.141,0.000,0.000,40
41000,4.019,4.136,8.155,0.000,0.000,40
41500,4.039,4.102,8.141,0.000,0.000,40
42000,4.058,4.082,8.141,0.000,0.000,40
42500,4.068,4.058,8.126,0.000,0.000,40
43000,4.078,4.063,8.141,0.000,0.000,40
43500,4.058,4.038,8.096,0.000,0.000,40
44000,4.039,4.102,8.141,0.000,0.000,40
44500,4.039,4.117,8.155,0.000,0.000,40
45000,4.049,4.077,8.126,0.000,0.000,40
45500,4.049,4.107,8.155,0.000,0.000,40
46000,4.068,4.028,8.096,0.000,0.000,40
46500,4.029,4.112,8.141,0.000,0.000,40
47000,4.078,4.048,8.126,0.000,0.000,40
47500,4.088,4.038,8.126,0.000,0.000,40
48000,4.049,4.107,8.155,0.000,0.000,40
48500,4.058,4.009,8.067,0.000,0.000,40
49000,4.049,4.092,8.141,0.000,0.000,40
49500,4.058,4.023,8.082,0.000,0.000,40
50000,4.078,4.048,8.126,0.000,0.000,40
50500,4.049,4.107,8.155,0.000,0.000,40
51000,4.029,4.126,8.155,0.000,0.000,40
51500,4.078,4.048,8.126,0.000,0.000,40
52000,4.029,4.112,8.141,0.000,0.000,40
52500,4.068,4.028,8.096,0.000,0.000,40
53000,4.049,4.033,8.082,0.000,0.000,40
53500,4.078,4.033,8.111,0.000,0.000,40
54000,4.049,4.048,8.096,0.000,0.000,40
54500,4.049,4.018,8.067,0.000,0.000,40
55000,4.049,4.107,8.155,0.000,0.000,40
55500,4.068,4.043,8.111,0.000,0.000,40
56000,4.058,4.023,8.082,0.000,0.000,40
56500,4.078,4.048,8.126,0.000,0.000,40
57000,4.068,4.043,8.111,0.000,0.000,40
57500,4.049,4.092,8.141,0.000,0.000,40
58000,4.078,4.033,8.111,0.000,0.000,40
58500,4.029,4.112,8.141,0.000,0.000,40
59000,4.049,4.077,8.126,0.000,0.000,40
59500,4.049,4.048,8.096,0.000,0.000,40
60000,4.078,4.033,8.111,0.000,0.000,40
60500,4.049,4.077,8.126,0.000,0.000,40
61000,4.058,4.038,8.096,0.000,0.000,40
61500,4.039,4.102,8.141,0.000,0.000,40
62000,4.049,4.063,8.111,0.000,0.000,40
62500,4.049,4.048,8.096,0.000,0.000,40
63000,4.049,4.033,8.082,0.000,0.000,40
63500,4.039,4.102,8.141,0.000,0.000,40
64000,4.039,4.072,8.111,0.000,0.000,40
64500,4.049,4.048,8.096,0.000,0.000,40
65000,4.039,4.102,8.141,0.000,0.000,40
65500,4.039,4.087,8.126,0.000,0.000,40
66000,4.009,4.117,8.126,0.000,0.000,40
66500,4.058,4.053,8.111,0.000,0.000,40
