time,cell1,cell2,cell3,cell4,total
Система готова
5000,0.000,4.292,-4.292,0.000,0.000
5500,0.000,4.292,-4.292,0.000,0.000
6000,0.000,4.292,-4.292,0.000,0.000
6500,0.000,4.292,-4.292,0.000,0.000
7000,0.000,4.292,-4.292,0.000,0.000
7500,0.000,4.292,-4.292,0.000,0.000
8000,0.000,4.292,-4.292,0.000,0.000
8500,0.000,4.292,-4.292,0.000,0.000
9000,0.000,4.292,-4.292,0.000,0.000
9500,0.000,4.292,-4.292,0.000,0.000
10000,0.000,4.292,-4.292,0.000,0.000
10500,0.000,4.292,-4.292,0.000,0.000
11000,0.000,4.292,-4.292,0.000,0.000
11500,0.000,4.292,-4.292,0.000,0.000
12000,0.000,4.292,-4.292,0.000,0.000
12500,0.000,4.292,-4.292,0.000,0.000
13000,0.000,4.292,-4.292,0.000,0.000
13500,0.000,4.306,-4.306,0.000,0.000
14000,0.000,4.292,-4.292,0.000,0.000
14500,0.000,4.292,-4.292,0.000,0.000
15000,0.039,4.252,-4.252,-0.015,0.025
15500,0.078,4.213,-4.133,-0.011,0.148
16000,0.088,4.218,-4.148,0.014,0.172
16500,0.098,4.194,-4.133,0.014,0.172
17000,0.088,4.203,-4.133,0.014,0.172
17500,0.000,4.292,-4.292,0.000,0.000
18000,0.196,4.096,-4.252,-0.015,0.025
18500,0.088,4.203,-4.252,-0.015,0.025
19000,0.108,4.184,-4.272,0.103,0.123
19500,0.000,4.292,-4.292,0.000,0.000
20000,0.020,4.287,-4.287,-0.020,0.000
20500,0.029,4.262,-4.252,-0.040,0.000
21000,0.020,4.272,-4.272,-0.020,0.000
21500,0.020,4.272,-4.272,-0.020,0.000
22000,0.010,4.282,-4.292,0.000,0.000
22500,0.118,4.174,-4.252,0.108,0.148
23000,0.098,4.194,-4.252,0.157,0.197
23500,0.000,4.292,-4.292,0.000,0.000
24000,0.000,4.292,-4.292,0.000,0.000
24500,0.000,4.292,-4.292,0.000,0.000
25000,0.000,4.292,-4.292,0.000,0.000
25500,0.000,4.292,-4.292,0.000,0.000
26000,0.000,4.292,-4.292,0.000,0.000
26500,0.000,4.292,-4.292,0.000,0.000
27000,0.000,4.292,-4.292,0.000,0.000
27500,0.000,4.292,-4.292,0.000,0.000
28000,0.000,4.292,-4.292,0.000,0.000
