time,cell1,cell2,cell3,cell4,total,throttle
Старт цикла: 10с работа, 10с пауза
14999,4.107,4.122,8.229,0.000,0.000,20
15499,4.107,4.122,8.229,0.000,0.000,20
16000,4.107,4.122,8.229,0.000,0.000,20
16500,4.107,4.122,8.229,0.000,0.000,20
17000,4.107,4.122,8.229,0.000,0.000,20
17500,4.107,4.122,8.229,0.000,0.000,20
18000,4.107,4.122,8.229,0.000,0.000,20
18500,4.107,4.122,8.229,0.000,0.000,20
19000,4.098,4.132,8.229,0.000,0.000,20
19500,4.107,4.122,8.229,0.000,0.000,20
20000,4.107,4.122,8.229,0.000,0.000,20
20500,4.088,4.097,8.185,0.000,0.000,20
21000,4.088,4.127,8.214,0.000,0.000,20
21500,4.098,4.117,8.214,0.000,0.000,20
22000,4.088,4.097,8.185,0.000,0.000,20
22500,4.098,4.117,8.214,0.000,0.000,20
23000,4.088,4.127,8.214,0.000,0.000,20
23500,4.098,4.117,8.214,0.000,0.000,20
24000,4.098,4.117,8.214,0.000,0.000,20
24500,4.078,4.136,8.214,0.000,0.000,20
25000,4.088,4.112,8.200,0.000,0.000,20
25500,4.088,4.097,8.185,0.000,0.000,20
26000,4.078,4.122,8.200,0.000,0.000,20
26500,4.088,4.097,8.185,0.000,0.000,20
27000,4.088,4.112,8.200,0.000,0.000,20
27500,4.098,4.102,8.200,0.000,0.000,20
28000,4.088,4.127,8.214,0.000,0.000,20
28500,4.078,4.136,8.214,0.000,0.000,20
29000,4.098,4.102,8.200,0.000,0.000,20
29500,4.088,4.112,8.200,0.000,0.000,20
30000,4.088,4.127,8.214,0.000,0.000,20
30500,4.098,4.117,8.214,0.000,0.000,20
31000,4.098,4.117,8.214,0.000,0.000,20
31500,4.098,4.117,8.214,0.000,0.000,20
32000,4.098,4.117,8.214,0.000,0.000,20
32500,4.098,4.117,8.214,0.000,0.000,20
33000,4.098,4.117,8.214,0.000,0.000,20
33500,4.098,4.117,8.214,0.000,0.000,20
34000,4.098,4.132,8.229,0.000,0.000,20
34500,4.098,4.132,8.229,0.000,0.000,20
35000,4.098,4.132,8.229,0.000,0.000,20
35500,4.098,4.117,8.214,0.000,0.000,20
36000,4.098,4.132,8.229,0.000,0.000,20
36500,4.107,4.122,8.229,0.000,0.000,20
37000,4.098,4.132,8.229,0.000,0.000,20
37500,4.098,4.132,8.229,0.000,0.000,20
38000,4.098,4.132,8.229,0.000,0.000,20
38500,4.098,4.132,8.229,0.000,0.000,20
39000,4.098,4.132,8.229,0.000,0.000,20
39500,4.098,4.132,8.229,0.000,0.000,20
40000,4.098,4.132,8.229,0.000,0.000,20
40500,4.098,4.087,8.185,0.000,0.000,20
41000,4.088,4.112,8.200,0.000,0.000,20
41500,4.088,4.127,8.214,0.000,0.000,20
42000,4.088,4.127,8.214,0.000,0.000,20
42500,4.098,4.102,8.200,0.000,0.000,20
43000,4.098,4.102,8.200,0.000,0.000,20
43500,4.088,4.097,8.185,0.000,0.000,20
44000,4.088,4.112,8.200,0.000,0.000,20
44500,4.088,4.112,8.200,0.000,0.000,20
45000,4.098,4.102,8.200,0.000,0.000,20
45500,4.098,4.102,8.200,0.000,0.000,20
46000,4.098,4.102,8.200,0.000,0.000,20
46500,4.088,4.112,8.200,0.000,0.000,20
47000,4.088,4.112,8.200,0.000,0.000,20
47500,4.088,4.112,8.200,0.000,0.000,20
48000,4.088,4.097,8.185,0.000,0.000,20
48500,4.098,4.102,8.200,0.000,0.000,20
49000,4.088,4.112,8.200,0.000,0.000,20
49500,4.098,4.102,8.200,0.000,0.000,20
50000,4.078,4.122,8.200,0.000,0.000,20
50500,4.098,4.117,8.214,0.000,0.000,20
51000,4.098,4.117,8.214,0.000,0.000,20
51500,4.098,4.117,8.214,0.000,0.000,20
52000,4.098,4.117,8.214,0.000,0.000,20
52500,4.098,4.117,8.214,0.000,0.000,20
53000,4.098,4.117,8.214,0.000,0.000,20
53500,4.098,4.117,8.214,0.000,0.000,20
54000,4.098,4.117,8.214,0.000,0.000,20
54500,4.098,4.117,8.214,0.000,0.000,20
55000,4.098,4.117,8.214,0.000,0.000,20
55500,4.098,4.117,8.214,0.000,0.000,20
56000,4.098,4.117,8.214,0.000,0.000,20
56500,4.098,4.117,8.214,0.000,0.000,20
57000,4.098,4.117,8.214,0.000,0.000,20
57500,4.098,4.117,8.214,0.000,0.000,20
58000,4.098,4.132,8.229,0.000,0.000,20
58500,4.098,4.117,8.214,0.000,0.000,20
59000,4.098,4.117,8.214,0.000,0.000,20
59500,4.098,4.117,8.214,0.000,0.000,20
60000,4.098,4.132,8.229,0.000,0.000,20
60500,4.088,4.112,8.200,0.000,0.000,20
61000,4.078,4.136,8.214,0.000,0.000,20
61500,4.098,4.102,8.200,0.000,0.000,20
62000,4.098,4.102,8.200,0.000,0.000,20
62500,4.088,4.112,8.200,0.000,0.000,20
63000,4.088,4.112,8.200,0.000,0.000,20
63500,4.088,4.097,8.185,0.000,0.000,20
64000,4.088,4.112,8.200,0.000,0.000,20
64500,4.088,4.112,8.200,0.000,0.000,20
65000,4.088,4.112,8.200,0.000,0.000,20
65500,4.078,4.122,8.200,0.000,0.000,20
66000,4.088,4.112,8.200,0.000,0.000,20
66500,4.088,4.127,8.214,0.000,0.000,20
67000,4.088,4.097,8.185,0.000,0.000,20
67500,4.068,4.132,8.200,0.000,0.000,20
68000,4.088,4.097,8.185,0.000,0.000,20
68500,4.088,4.112,8.200,0.000,0.000,20
69000,4.088,4.112,8.200,0.000,0.000,20
69500,4.098,4.102,8.200,0.000,0.000,20
70000,4.078,4.122,8.200,0.000,0.000,20
70500,4.098,4.117,8.214,0.000,0.000,20
71000,4.098,4.117,8.214,0.000,0.000,20
71500,4.098,4.117,8.214,0.000,0.000,20
72000,4.098,4.117,8.214,0.000,0.000,20
72500,4.098,4.117,8.214,0.000,0.000,20
73000,4.098,4.117,8.214,0.000,0.000,20
73500,4.098,4.117,8.214,0.000,0.000,20
74000,4.098,4.117,8.214,0.000,0.000,20
74500,4.098,4.117,8.214,0.000,0.000,20
75000,4.098,4.117,8.214,0.000,0.000,20
75500,4.098,4.117,8.214,0.000,0.000,20
76000,4.098,4.117,8.214,0.000,0.000,20
76500,4.098,4.132,8.229,0.000,0.000,20
77000,4.098,4.117,8.214,0.000,0.000,20
77500,4.098,4.117,8.214,0.000,0.000,20
78000,4.098,4.117,8.214,0.000,0.000,20
78500,4.098,4.117,8.214,0.000,0.000,20
79000,4.098,4.117,8.214,0.000,0.000,20
79500,4.098,4.117,8.214,0.000,0.000,20
80000,4.098,4.117,8.214,0.000,0.000,20
80500,4.088,4.112,8.200,0.000,0.000,20
81000,4.098,4.102,8.200,0.000,0.000,20
81500,4.088,4.112,8.200,0.000,0.000,20
82000,4.078,4.122,8.200,0.000,0.000,20
82500,4.078,4.122,8.200,0.000,0.000,20
83000,4.098,4.102,8.200,0.000,0.000,20
83500,4.088,4.112,8.200,0.000,0.000,20
84000,4.088,4.112,8.200,0.000,0.000,20
84500,4.088,4.112,8.200,0.000,0.000,20
85000,4.088,4.082,8.170,0.000,0.000,20
85500,4.098,4.102,8.200,0.000,0.000,20
86000,4.088,4.112,8.200,0.000,0.000,20
86500,4.088,4.112,8.200,0.000,0.000,20
87000,4.088,4.112,8.200,0.000,0.000,20
87500,4.078,4.122,8.200,0.000,0.000,20
88000,4.088,4.112,8.200,0.000,0.000,20
88500,4.088,4.112,8.200,0.000,0.000,20
89000,4.088,4.112,8.200,0.000,0.000,20
89500,4.088,4.112,8.200,0.000,0.000,20
90000,4.088,4.112,8.200,0.000,0.000,20
90500,4.098,4.117,8.214,0.000,0.000,20
91000,4.098,4.117,8.214,0.000,0.000,20
91500,4.098,4.117,8.214,0.000,0.000,20
92000,4.098,4.117,8.214,0.000,0.000,20
92500,4.098,4.117,8.214,0.000,0.000,20
93000,4.098,4.117,8.214,0.000,0.000,20
93500,4.098,4.117,8.214,0.000,0.000,20
94000,4.098,4.117,8.214,0.000,0.000,20
94500,4.098,4.117,8.214,0.000,0.000,20
95000,4.098,4.117,8.214,0.000,0.000,20
95500,4.098,4.117,8.214,0.000,0.000,20
96000,4.098,4.117,8.214,0.000,0.000,20
96500,4.098,4.117,8.214,0.000,0.000,20
97000,4.098,4.117,8.214,0.000,0.000,20
97500,4.098,4.117,8.214,0.000,0.000,20
98000,4.098,4.117,8.214,0.000,0.000,20
98500,4.098,4.117,8.214,0.000,0.000,20
99000,4.098,4.117,8.214,0.000,0.000,20
99500,4.098,4.117,8.214,0.000,0.000,20
100000,4.098,4.117,8.214,0.000,0.000,20
100500,4.039,4.161,8.200,0.000,0.000,20
101000,4.088,4.097,8.185,0.000,0.000,20
101500,4.088,4.112,8.200,0.000,0.000,20
102000,4.098,4.102,8.200,0.000,0.000,20
102500,4.078,4.122,8.200,0.000,0.000,20
103000,4.078,4.122,8.200,0.000,0.000,20
103500,4.088,4.097,8.185,0.000,0.000,20
104000,4.088,4.082,8.170,0.000,0.000,20
104500,4.088,4.112,8.200,0.000,0.000,20
